Model,With_Pupil_Proxy_F1,With_Pupil_Proxy_AUC
Logistic_Regression,0.7331002331002331,0.7633333333333334
Random_Forest,0.885897435897436,0.7433333333333334
XGBoost,0.8469530469530471,0.7466666666666667
