Model,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC,PR_AUC,Ablation_Group
Logistic_Regression,2,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.75,0.9061507936507937,D_Pupil_only
Logistic_Regression,3,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.41666666666666663,0.794047619047619,D_Pupil_only
Logistic_Regression,4,0.5,0.4,0.5714285714285714,0.8,0.0,0.6666666666666666,0.4,0.7167857142857144,D_Pupil_only
Logistic_Regression,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6666666666666667,0.8463095238095237,D_Pupil_only
Random_Forest,1,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.723611111111111,D_Pupil_only
Random_Forest,2,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.6666666666666667,0.8873015873015873,D_Pupil_only
Random_Forest,3,0.5,0.5,0.75,0.5,0.5,0.6,0.37499999999999994,0.736111111111111,D_Pupil_only
Random_Forest,4,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.5666666666666667,0.7080952380952381,D_Pupil_only
Random_Forest,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.5666666666666667,0.7658333333333334,D_Pupil_only
XGBoost,1,0.625,0.5833333333333333,0.8,0.6666666666666666,0.5,0.7272727272727273,0.41666666666666663,0.7444444444444444,D_Pupil_only
XGBoost,2,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.7083333333333333,0.9081349206349207,D_Pupil_only
XGBoost,3,0.5,0.5,0.75,0.5,0.5,0.6,0.4583333333333333,0.7569444444444444,D_Pupil_only
XGBoost,4,0.75,0.7333333333333334,0.8,0.8,0.6666666666666666,0.8,0.7666666666666667,0.8447619047619048,D_Pupil_only
XGBoost,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.7333333333333334,0.8345238095238094,D_Pupil_only
Logistic_Regression,1,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.5833333333333333,0.8662698412698413,E_Gaze_and_Pupil
Logistic_Regression,2,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.75,0.9061507936507937,E_Gaze_and_Pupil
Logistic_Regression,3,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.41666666666666663,0.794047619047619,E_Gaze_and_Pupil
Logistic_Regression,4,0.375,0.3,0.5,0.6,0.0,0.5454545454545454,0.33333333333333337,0.6334523809523809,E_Gaze_and_Pupil
Logistic_Regression,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6666666666666667,0.8463095238095237,E_Gaze_and_Pupil
Random_Forest,1,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.75,0.9061507936507937,E_Gaze_and_Pupil
Random_Forest,2,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.625,0.866468253968254,E_Gaze_and_Pupil
Random_Forest,3,0.375,0.41666666666666663,0.6666666666666666,0.3333333333333333,0.5,0.4444444444444444,0.37499999999999994,0.736111111111111,E_Gaze_and_Pupil
Random_Forest,4,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.7000000000000001,0.8258333333333332,E_Gaze_and_Pupil
Random_Forest,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.6666666666666667,0.8064285714285714,E_Gaze_and_Pupil
XGBoost,1,0.625,0.5833333333333333,0.8,0.6666666666666666,0.5,0.7272727272727273,0.41666666666666663,0.7444444444444444,E_Gaze_and_Pupil
XGBoost,2,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.7083333333333333,0.9081349206349207,E_Gaze_and_Pupil
