timestamp,trial,trial_phase,gaze_x,gaze_y,left_iris_radius,right_iris_radius,head_pose,blink_state,target_x,target_y
1783277291573,1,fixation1,355.04750493465,604.5764951234278,5.610267035034473,5.46890767533702,"[-0.046728794798695406, 0.0184945750921377, -0.29910267134663443]",0,352,393.5
1783277291597,1,fixation1,355.04750493465,604.5764951234278,5.610267035034473,5.46890767533702,"[-0.046728794798695406, 0.0184945750921377, -0.29910267134663443]",0,352,393.5
1783277291635,1,fixation1,407.60571992853556,458.5021917266233,5.502374468156017,5.5239239834825815,"[-0.06405796731787461, 0.018812126044676747, -0.33386869812825304]",0,352,393.5
1783277291649,1,fixation1,407.60571992853556,458.5021917266233,5.502374468156017,5.5239239834825815,"[-0.06405796731787461, 0.018812126044676747, -0.33386869812825304]",0,352,393.5
1783277291702,1,fixation1,357.45081370817775,578.709041361554,5.4209761634243625,5.462835155091229,"[-0.06826771730766446, 0.018590587520435187, -0.338368899687784]",0,352,393.5
1783277291723,1,fixation1,357.45081370817775,578.709041361554,5.4209761634243625,5.462835155091229,"[-0.06826771730766446, 0.018590587520435187, -0.338368899687784]",0,352,393.5
1783277291765,1,fixation1,406.0996263203259,581.6928814751195,5.524890608381703,5.620703326023071,"[-0.06541920213847519, 0.015588196455727843, -0.34580755551627557]",0,352,393.5
1783277291772,1,fixation1,406.0996263203259,581.6928814751195,5.524890608381703,5.620703326023071,"[-0.06541920213847519, 0.015588196455727843, -0.34580755551627557]",0,352,393.5
1783277291798,1,fixation1,406.0996263203259,581.6928814751195,5.524890608381703,5.620703326023071,"[-0.06541920213847519, 0.015588196455727843, -0.34580755551627557]",0,352,393.5
1783277291838,1,fixation1,408.648321079799,546.3370996956814,5.552991922536744,5.554131121900822,"[-0.06337432561400774, 0.017128898603939513, -0.3532436034860633]",0,352,393.5
1783277291871,1,fixation1,421.7600231448115,416.7964272708181,5.384276112374019,5.670131934986989,"[-0.06627197044371669, 0.015832577649769863, -0.35618870735218044]",0,352,393.5
1783277291897,1,fixation1,421.7600231448115,416.7964272708181,5.384276112374019,5.670131934986989,"[-0.06627197044371669, 0.015832577649769863, -0.35618870735218044]",0,352,393.5
1783277291932,1,fixation1,360.27829934761246,569.2475208059492,5.517592121666445,5.542851148096548,"[-0.06604749813422961, 0.010906820186511568, -0.35323197382135524]",0,352,393.5
1783277291946,1,fixation1,360.27829934761246,569.2475208059492,5.517592121666445,5.542851148096548,"[-0.06604749813422961, 0.010906820186511568, -0.35323197382135524]",0,352,393.5
1783277292003,1,fixation1,427.9335155609527,422.322381803576,5.472119825563615,5.570453850962559,"[-0.06631503359606078, 0.013317969717632772, -0.3694164908122139]",0,352,393.5
1783277292022,1,fixation1,427.9335155609527,422.322381803576,5.472119825563615,5.570453850962559,"[-0.06631503359606078, 0.013317969717632772, -0.3694164908122139]",0,352,393.5
1783277292077,1,array1,454.90219497833033,541.9133906502815,5.6334845082801674,5.61305951668034,"[-0.06487959351294631, 0.011013288497574769, -0.3517704603669563]",0,472,433.5
1783277292110,1,array1,375.3166528402396,535.1628779840579,5.561311487233714,5.3806947131366005,"[-0.06150629693980059, 0.015003610169687098, -0.3591451405146497]",0,472,433.5
1783277292132,1,array1,375.3166528402396,535.1628779840579,5.561311487233714,5.3806947131366005,"[-0.06150629693980059, 0.015003610169687098, -0.3591451405146497]",0,472,433.5
1783277292182,1,array1,417.67730138526065,619.0421410149321,5.686457763007019,5.504476234584523,"[-0.05475598021905437, 0.01294652668697005, -0.3474230994170489]",0,472,433.5
1783277292206,1,array1,417.67730138526065,619.0421410149321,5.686457763007019,5.504476234584523,"[-0.05475598021905437, 0.01294652668697005, -0.3474230994170489]",0,472,433.5
1783277292255,1,array1,439.2869867070226,417.5678971919404,5.475098433356863,5.328193362100495,"[-0.05822644723671205, 0.012339461294131993, -0.34298269692655914]",0,472,433.5
1783277292280,1,array1,439.2869867070226,417.5678971919404,5.475098433356863,5.328193362100495,"[-0.05822644723671205, 0.012339461294131993, -0.34298269692655914]",0,472,433.5
1783277292323,1,array1,374.05648967410593,524.6798477685885,5.516073525506524,5.520608703921981,"[-0.04721298445964317, 0.01574476888216747, -0.3488480002746247]",0,472,433.5
1783277292365,1,array1,389.12304838359614,586.8030145878582,5.643095678533789,5.369406150910167,"[-0.0542059420116931, 0.008058762030692557, -0.3444242907834937]",0,472,433.5
1783277292380,1,array1,389.12304838359614,586.8030145878582,5.643095678533789,5.369406150910167,"[-0.0542059420116931, 0.008058762030692557, -0.3444242907834937]",0,472,433.5
1783277292417,1,array1,388.969895092051,507.7782007796342,5.539034257219213,5.630860385658456,"[-0.05296285552082747, 0.009927577415474675, -0.35769090270180803]",0,472,433.5
1783277292431,1,array1,388.969895092051,507.7782007796342,5.539034257219213,5.630860385658456,"[-0.05296285552082747, 0.009927577415474675, -0.35769090270180803]",0,472,433.5
