timestamp,trial,trial_phase,gaze_x,gaze_y,left_iris_radius,right_iris_radius,head_pose,blink_state,target_x,target_y,used_in_model
1783011652856,1,horizontal,319.7329345011018,104.16589076779026,2.5321305350104866,2.6809338267922698,"[0.02173687644819644, 0.07555254432287617, -0.15034917047050536]",0,597.8311599525823,255.0,False
1783011652997,1,horizontal,,,0.0,0.0,"[0.021259327706694142, 0.1861096066016804, -0.08805510261318114]",0,592.6612803901651,255.0,False
1783011653043,1,horizontal,,,0.0,0.0,"[0.011277162820676034, 0.11310313298277319, -0.0867739663728514]",0,589.78231918089,255.0,False
1783011653079,1,horizontal,,,0.0,0.0,"[0.016364290310752705, 0.10140570757298928, -0.10444746912168032]",0,587.2095384073689,255.0,False
1783011653095,1,horizontal,,,0.0,0.0,"[0.016364290310752705, 0.10140570757298928, -0.10444746912168032]",0,585.9222287042232,255.0,False
1783011653137,1,horizontal,,,0.0,0.0,"[0.03449402565762172, 0.10232251047122387, -0.09082065047005157]",0,582.3379922614128,255.0,False
1783011653142,1,horizontal,,,0.0,0.0,"[0.03449402565762172, 0.10232251047122387, -0.09082065047005157]",0,581.8301739169806,255.0,False
1783011653159,1,horizontal,,,0.0,0.0,"[0.03449402565762172, 0.10232251047122387, -0.09082065047005157]",0,580.2124272866004,255.0,False
1783011653203,1,horizontal,,,0.0,0.0,"[0.03552576689766396, 0.1004694987050686, -0.09533679956106406]",0,575.6907993380308,255.0,False
1783011653206,1,horizontal,,,0.0,0.0,"[0.03552576689766396, 0.1004694987050686, -0.09533679956106406]",0,575.3542065231529,255.0,False
1783011653246,1,horizontal,,,0.0,0.0,"[0.04232650291653495, 0.0984137514520852, -0.09231999688683311]",0,570.8842358594159,255.0,False
1783011653255,1,horizontal,,,0.0,0.0,"[0.04232650291653495, 0.0984137514520852, -0.09231999688683311]",0,569.7356985496488,255.0,False
1783011653270,1,horizontal,,,0.0,0.0,"[0.04232650291653495, 0.0984137514520852, -0.09231999688683311]",0,567.9219659628079,255.0,False
1783011653312,1,horizontal,,,0.0,0.0,"[0.04876848490001995, 0.09923035187728069, -0.0877179052191422]",0,562.4805452096771,255.0,False
1783011653319,1,horizontal,,,0.0,0.0,"[0.04876848490001995, 0.09923035187728069, -0.0877179052191422]",0,561.4951002901221,255.0,False
1783011653363,1,horizontal,,,0.0,0.0,"[0.04877206577394744, 0.09664141679190508, -0.08006559027696367]",0,555.3274010896965,255.0,False
1783011653366,1,horizontal,,,0.0,0.0,"[0.04877206577394744, 0.09664141679190508, -0.08006559027696367]",0,554.8891531938232,255.0,False
1783011653382,1,horizontal,,,0.0,0.0,"[0.04877206577394744, 0.09664141679190508, -0.08006559027696367]",0,552.5331130779266,255.0,False
1783011653399,1,horizontal,,,0.0,0.0,"[0.04877206577394744, 0.09664141679190508, -0.08006559027696367]",0,550.0140392026899,255.0,False
1783011653430,1,horizontal,,,0.0,0.0,"[0.050463175791539916, 0.09880069620924503, -0.06934628796078603]",0,545.0860393979381,255.0,False
1783011653447,1,horizontal,,,0.0,0.0,"[0.050463175791539916, 0.09880069620924503, -0.06934628796078603]",0,542.3960930993936,255.0,False
1783011653463,1,horizontal,,,0.0,0.0,"[0.050463175791539916, 0.09880069620924503, -0.06934628796078603]",0,539.6653350316875,255.0,False
1783011653496,1,horizontal,,,0.0,0.0,"[0.04754113894353029, 0.10553724370603679, -0.06629859766677618]",0,534.123492915159,255.0,False
1783011653511,1,horizontal,,,0.0,0.0,"[0.04754113894353029, 0.10553724370603679, -0.06629859766677618]",0,531.3703901918536,255.0,False
1783011653526,1,horizontal,,,0.0,0.0,"[0.04754113894353029, 0.10553724370603679, -0.06629859766677618]",0,528.7127200638438,255.0,False
1783011653600,1,horizontal,,,0.0,0.0,"[0.04423131146966186, 0.09750852676687083, -0.06629850752441527]",0,515.0053008175184,255.0,False
1783011653607,1,horizontal,,,0.0,0.0,"[0.04423131146966186, 0.09750852676687083, -0.06629850752441527]",0,513.5490596476142,255.0,False
1783011653622,1,horizontal,,,0.0,0.0,"[0.04423131146966186, 0.09750852676687083, -0.06629850752441527]",0,510.5870250487817,255.0,False
1783011653660,1,horizontal,,,0.0,0.0,"[0.0434324760359186, 0.10125762608443989, -0.07701182602553577]",0,502.9999088830858,255.0,False
1783011653671,1,horizontal,,,0.0,0.0,"[0.0434324760359186, 0.10125762608443989, -0.07701182602553577]",0,500.80874709527325,255.0,False
1783011653686,1,horizontal,,,0.0,0.0,"[0.0434324760359186, 0.10125762608443989, -0.07701182602553577]",0,497.64320196863895,255.0,False
1783011653731,1,horizontal,,,0.0,0.0,"[0.042617405366159544, 0.09997898330631871, -0.0754834482223329]",0,488.248199931228,255.0,False
1783011653734,1,horizontal,,,0.0,0.0,"[0.042617405366159544, 0.09997898330631871, -0.0754834482223329]",0,487.45170522669605,255.0,False
1783011653750,1,horizontal,,,0.0,0.0,"[0.042617405366159544, 0.09997898330631871, -0.0754834482223329]",0,483.94056611071755,255.0,False
1783011653799,1,horizontal,,,0.0,0.0,"[0.03519063687651569, 0.10212496170909435, -0.07701593623530703]",0,473.1160115797063,255.0,False
1783011653815,1,horizontal,,,0.0,0.0,"[0.03519063687651569, 0.10212496170909435, -0.07701593623530703]",0,469.6852827660929,255.0,False
1783011653831,1,horizontal,,,0.0,0.0,"[0.03519063687651569, 0.10212496170909435, -0.07701593623530703]",0,465.95029240789006,255.0,False
1783011653867,1,horizontal,,,0.0,0.0,"[0.03740127418822392, 0.10013657565827516, -0.08465096212104382]",0,457.6119147221916,255.0,False
1783011653879,1,horizontal,,,0.0,0.0,"[0.03740127418822392, 0.10013657565827516, -0.08465096212104382]",0,454.735786453404,255.0,False
1783011653913,1,horizontal,,,0.0,0.0,"[0.03281251045874334, 0.10053686339119305, -0.08160952366970466]",0,446.67448624837175,255.0,False
1783011653927,1,horizontal,,,0.0,0.0,"[0.03281251045874334, 0.10053686339119305, -0.08160952366970466]",0,443.42517020240933,255.0,False
1783011653943,1,horizontal,,,0.0,0.0,"[0.03281251045874334, 0.10053686339119305, -0.08160952366970466]",0,439.67521896770455,255.0,False
