timestamp,trial,trial_phase,gaze_x,gaze_y,left_iris_radius,right_iris_radius,head_pose,blink_state,target_x,target_y
1783012943220,1,fixation1,,,0,0,"[-0.004260205696599073, 0.07066631453077288, -0.07528651019328543]",0,352,255
1783012943332,1,fixation1,,,0,0,"[0.08240829982319853, 0.07697495849625546, -0.07836370065488993]",0,352,255
1783012943365,1,fixation1,,,0,0,"[0.07982342397976483, 0.07118088910315157, -0.08621093057959975]",0,352,255
1783012943419,1,fixation1,,,0,0,"[0.07792877228938666, 0.07311300421177602, -0.08312184831569966]",0,352,255
1783012943437,1,fixation1,,,0,0,"[0.07792877228938666, 0.07311300421177602, -0.08312184831569966]",0,352,255
1783012943486,1,fixation1,,,0,0,"[0.07542493861451138, 0.0703868456462482, -0.08467387921745732]",0,352,255
1783012943513,1,fixation1,,,0,0,"[0.07542493861451138, 0.0703868456462482, -0.08467387921745732]",0,352,255
1783012943552,1,fixation1,,,0,0,"[0.07930296368612855, 0.06711313783392547, -0.07683555491211541]",0,352,255
1783012943562,1,fixation1,,,0,0,"[0.07930296368612855, 0.06711313783392547, -0.07683555491211541]",0,352,255
1783012943610,1,fixation1,,,0,0,"[0.08434465985363115, 0.06979294480559917, -0.07215639758198007]",0,352,255
1783012943613,1,fixation1,,,0,0,"[0.08434465985363115, 0.06979294480559917, -0.07215639758198007]",0,352,255
1783012943668,1,fixation1,,,0,0,"[0.08233540710271026, 0.0672786838107956, -0.06903299693173538]",0,352,255
1783012943694,1,array1,,,0,0,"[0.08233540710271026, 0.0672786838107956, -0.06903299693173538]",0,392,215
1783012943737,1,array1,,,0,0,"[0.08414969243664117, 0.06753139027737998, -0.06591693773546055]",0,392,215
1783012943744,1,array1,,,0,0,"[0.08414969243664117, 0.06753139027737998, -0.06591693773546055]",0,392,215
1783012943779,1,array1,,,0,0,"[0.08937033822061857, 0.06843776695856085, -0.07683318299586442]",0,392,215
1783012943794,1,array1,,,0,0,"[0.08937033822061857, 0.06843776695856085, -0.07683318299586442]",0,392,215
1783012943830,1,array1,,,0,0,"[0.09014582321195208, 0.06925063336059778, -0.06444382836322958]",0,392,215
1783012943844,1,array1,,,0,0,"[0.09014582321195208, 0.06925063336059778, -0.06444382836322958]",0,392,215
1783012943870,1,array1,,,0,0,"[0.09014582321195208, 0.06925063336059778, -0.06444382836322958]",0,392,215
1783012943900,1,array1,,,0,0,"[0.09098377252773715, 0.06779335660199215, -0.05665913442730661]",0,392,215
1783012943919,1,array1,,,0,0,"[0.09098377252773715, 0.06779335660199215, -0.05665913442730661]",0,392,215
1783012943963,1,array1,,,0,0,"[0.09353064632057839, 0.06779824951369884, -0.05977639543630978]",0,392,215
1783012943969,1,array1,,,0,0,"[0.09353064632057839, 0.06779824951369884, -0.05977639543630978]",0,392,215
1783012943993,1,array1,,,0,0,"[0.09353064632057839, 0.06779824951369884, -0.05977639543630978]",0,392,215
1783012944031,1,array1,,,0,0,"[0.08763326015030604, 0.06589250501561927, -0.06443398127425153]",0,392,215
1783012944044,1,array1,,,0,0,"[0.08763326015030604, 0.06589250501561927, -0.06443398127425153]",0,392,215
1783012944089,1,array1,,,0,0,"[0.08596414917026662, 0.0697100302006124, -0.06911638585765031]",0,392,215
1783012944094,1,array1,,,0,0,"[0.08596414917026662, 0.0697100302006124, -0.06911638585765031]",0,392,215
1783012944119,1,array1,,,0,0,"[0.08596414917026662, 0.0697100302006124, -0.06911638585765031]",0,392,215
1783012944148,1,array1,,,0,0,"[0.08134832629836286, 0.07186831075127087, -0.06441343303587777]",0,392,215
1783012944168,1,array1,,,0,0,"[0.08134832629836286, 0.07186831075127087, -0.06441343303587777]",0,392,215
1783012944204,1,array1,,,0,0,"[0.08263883680553608, 0.0696580003895293, -0.07680835781327516]",0,392,215
1783012944219,1,array1,,,0,0,"[0.08263883680553608, 0.0696580003895293, -0.07680835781327516]",0,392,215
1783012944271,1,array1,,,0,0,"[0.0807141864873383, 0.06614172221291303, -0.07212292492052036]",0,392,215
1783012944317,1,array1,,,0,0,"[0.0794748734267583, 0.07214497249154816, -0.06897302657264535]",0,392,215
1783012944344,1,array1,,,0,0,"[0.0794748734267583, 0.07214497249154816, -0.06897302657264535]",0,392,215
1783012944384,1,array1,,,0,0,"[0.07876526122355132, 0.0729013956064265, -0.07053749601359594]",0,392,215
1783012944394,1,array1,,,0,0,"[0.07876526122355132, 0.0729013956064265, -0.07053749601359594]",0,392,215
1783012944419,1,array1,,,0,0,"[0.07876526122355132, 0.0729013956064265, -0.07053749601359594]",0,392,215
1783012944448,1,fixation2,,,0,0,"[0.07978624416962377, 0.07452640266155197, -0.07210456787181933]",0,352,255
1783012944469,1,fixation2,,,0,0,"[0.07978624416962377, 0.07452640266155197, -0.07210456787181933]",0,352,255
1783012944526,1,fixation2,,,0,0,"[0.07890280185855525, 0.06989081657026619, -0.07366093036921914]",0,352,255
1783012944564,1,fixation2,,,0,0,"[0.07579072379389418, 0.07223860725027687, -0.07678564133308298]",0,352,255
1783012944569,1,fixation2,,,0,0,"[0.07579072379389418, 0.07223860725027687, -0.07678564133308298]",0,352,255
1783012944619,1,fixation2,,,0,0,"[0.0805361314450016, 0.07540431735086572, -0.07523270335418655]",0,352,255
1783012944645,1,fixation2,,,0,0,"[0.0805361314450016, 0.07540431735086572, -0.07523270335418655]",0,352,255
