timestamp,trial,trial_phase,gaze_x,gaze_y,left_iris_radius,right_iris_radius,head_pose,blink_state,target_x,target_y
1783271400350,1,fixation1,,,0,0,"[-0.027662680362561143, 0.06448979705275004, -0.13309117353845354]",0,352,375
1783271400377,1,fixation1,,,0,0,"[-0.027662680362561143, 0.06448979705275004, -0.13309117353845354]",0,352,375
1783271400422,1,fixation1,,,0,0,"[-0.024261798425702308, 0.06107452485161857, -0.12323848202735435]",0,352,375
1783271400427,1,fixation1,,,0,0,"[-0.024261798425702308, 0.06107452485161857, -0.12323848202735435]",0,352,375
1783271400451,1,fixation1,,,0,0,"[-0.024261798425702308, 0.06107452485161857, -0.12323848202735435]",0,352,375
1783271400483,1,fixation1,,,0,0,"[-0.02316160201889078, 0.06381445399458185, -0.12489634588878805]",0,352,375
1783271400507,1,fixation1,,,0,0,"[-0.02316160201889078, 0.06381445399458185, -0.12489634588878805]",0,352,375
1783271400552,1,fixation1,,,0,0,"[-0.02404856813519074, 0.057395575190494985, -0.11665244067121829]",0,352,375
1783271400580,1,fixation1,,,0,0,"[-0.02560654032657117, 0.05796124985877227, -0.11830991061791431]",0,352,375
1783271400602,1,fixation1,,,0,0,"[-0.02560654032657117, 0.05796124985877227, -0.11830991061791431]",0,352,375
1783271400653,1,fixation1,,,0,0,"[-0.022130896236345676, 0.06194214514270935, -0.13490559362495141]",0,352,375
1783271400677,1,fixation1,,,0,0,"[-0.022130896236345676, 0.06194214514270935, -0.13490559362495141]",0,352,375
1783271400721,1,fixation1,,,0,0,"[-0.02697442411293216, 0.061756511915334156, -0.11157107305014333]",0,352,375
1783271400727,1,fixation1,,,0,0,"[-0.02697442411293216, 0.061756511915334156, -0.11157107305014333]",0,352,375
1783271400752,1,fixation1,,,0,0,"[-0.02697442411293216, 0.061756511915334156, -0.11157107305014333]",0,352,375
1783271400785,1,fixation1,,,0,0,"[-0.02256067804271389, 0.058767767506381574, -0.12148486582024302]",0,352,375
1783271400821,1,fixation1,,,0,0,"[-0.022604389753020704, 0.054697361504207676, -0.11320492023577534]",0,352,375
1783271400847,1,array1,,,0,0,"[-0.022604389753020704, 0.054697361504207676, -0.11320492023577534]",0,312,255
1783271400885,1,array1,,,0,0,"[-0.018503265346549835, 0.06197328489634568, -0.11817447041687378]",0,312,255
1783271400897,1,array1,,,0,0,"[-0.018503265346549835, 0.06197328489634568, -0.11817447041687378]",0,312,255
1783271400923,1,array1,,,0,0,"[-0.018503265346549835, 0.06197328489634568, -0.11817447041687378]",0,312,255
1783271400951,1,array1,,,0,0,"[-0.02762991921000868, 0.05502938838156701, -0.10980781348714376]",0,312,255
1783271400973,1,array1,,,0,0,"[-0.02762991921000868, 0.05502938838156701, -0.10980781348714376]",0,312,255
1783271401018,1,array1,,,0,0,"[-0.027476846718478387, 0.05994172618496518, -0.10487392670076995]",0,312,255
1783271401022,1,array1,,,0,0,"[-0.027476846718478387, 0.05994172618496518, -0.10487392670076995]",0,312,255
1783271401067,1,array1,,,0,0,"[-0.032053141388433626, 0.05490409330702439, -0.09135386466020655]",0,312,255
1783271401072,1,array1,,,0,0,"[-0.032053141388433626, 0.05490409330702439, -0.09135386466020655]",0,312,255
1783271401097,1,array1,,,0,0,"[-0.032053141388433626, 0.05490409330702439, -0.09135386466020655]",0,312,255
1783271401139,1,array1,,,0,0,"[-0.031069329783174726, 0.05863934621187583, -0.0863305080061202]",0,312,255
1783271401147,1,array1,,,0,0,"[-0.031069329783174726, 0.05863934621187583, -0.0863305080061202]",0,312,255
1783271401172,1,array1,,,0,0,"[-0.031069329783174726, 0.05863934621187583, -0.0863305080061202]",0,312,255
1783271401202,1,array1,,,0,0,"[-0.026460306657542454, 0.06339244822689938, -0.07801128498649092]",0,312,255
1783271401226,1,array1,,,0,0,"[-0.026460306657542454, 0.06339244822689938, -0.07801128498649092]",0,312,255
1783271401273,1,array1,,,0,0,"[-0.026739411807398195, 0.0594170185698889, -0.07636527783267302]",0,312,255
1783271401300,1,array1,,,0,0,"[-0.01793557410829566, 0.06250867845831243, -0.08461285848313102]",0,312,255
1783271401323,1,array1,,,0,0,"[-0.01793557410829566, 0.06250867845831243, -0.08461285848313102]",0,312,255
1783271401369,1,array1,,,0,0,"[-0.02040577964403517, 0.06650138476975398, -0.0912235376152048]",0,312,255
1783271401372,1,array1,,,0,0,"[-0.02040577964403517, 0.06650138476975398, -0.0912235376152048]",0,312,255
1783271401398,1,array1,,,0,0,"[-0.02040577964403517, 0.06650138476975398, -0.0912235376152048]",0,312,255
1783271401436,1,array1,,,0,0,"[-0.01824582002068298, 0.06452058831192609, -0.07294688046692242]",0,312,255
1783271401447,1,array1,,,0,0,"[-0.01824582002068298, 0.06452058831192609, -0.07294688046692242]",0,312,255
1783271401472,1,array1,,,0,0,"[-0.01824582002068298, 0.06452058831192609, -0.07294688046692242]",0,312,255
1783271401500,1,array1,,,0,0,"[-0.024537029268811072, 0.06396505030689947, -0.07954504422617141]",0,312,255
1783271401522,1,array1,,,0,0,"[-0.024537029268811072, 0.06396505030689947, -0.07954504422617141]",0,312,255
1783271401553,1,array1,,,0,0,"[-0.02217798535078991, 0.05515420180283692, -0.0778959754016121]",0,312,255
1783271401573,1,array1,,,0,0,"[-0.02217798535078991, 0.05515420180283692, -0.0778959754016121]",0,312,255
1783271401618,1,array1,,,0,0,"[-0.018015022849395268, 0.0621473749694037, -0.08283533831339629]",0,312,255
1783271401622,1,array1,,,0,0,"[-0.018015022849395268, 0.0621473749694037, -0.08283533831339629]",0,312,255
1783271401666,1,array1,,,0,0,"[-0.015380867411423249, 0.05953230117251951, -0.07952911921473234]",0,312,255
1783271401673,1,array1,,,0,0,"[-0.015380867411423249, 0.05953230117251951, -0.07952911921473234]",0,312,255
1783271401697,1,array1,,,0,0,"[-0.015380867411423249, 0.05953230117251951, -0.07952911921473234]",0,312,255
1783271401733,1,array1,,,0,0,"[-0.022821378097328482, 0.06563809924265507, -0.07952914718490896]",0,312,255
1783271401748,1,array1,,,0,0,"[-0.022821378097328482, 0.06563809924265507, -0.07952914718490896]",0,312,255
1783271401772,1,array1,,,0,0,"[-0.022821378097328482, 0.06563809924265507, -0.07952914718490896]",0,312,255
1783271401797,1,array1,,,0,0,"[-0.022941415671532905, 0.05627633839131929, -0.07621870165869023]",0,312,255
1783271401822,1,array1,,,0,0,"[-0.022941415671532905, 0.05627633839131929, -0.07621870165869023]",0,312,255
1783271401850,1,array1,,,0,0,"[-0.026175237706390464, 0.0562483812700626, -0.07621854645789752]",0,312,255
1783271401872,1,array1,,,0,0,"[-0.026175237706390464, 0.0562483812700626, -0.07621854645789752]",0,312,255
1783271401918,1,array1,,,0,0,"[-0.018352433304949345, 0.06400503529535395, -0.07787487999937646]",0,312,255
1783271401922,1,array1,,,0,0,"[-0.018352433304949345, 0.06400503529535395, -0.07787487999937646]",0,312,255
1783271401947,1,array1,,,0,0,"[-0.018352433304949345, 0.06400503529535395, -0.07787487999937646]",0,312,255
1783271401986,1,array1,,,0,0,"[-0.015033081807363624, 0.06124640390231839, -0.0745574062873174]",0,312,255
1783271401997,1,array1,,,0,0,"[-0.015033081807363624, 0.06124640390231839, -0.0745574062873174]",0,312,255
1783271402022,1,array1,,,0,0,"[-0.015033081807363624, 0.06124640390231839, -0.0745574062873174]",0,312,255
1783271402055,1,array1,,,0,0,"[-0.013041676070765118, 0.05884619049884521, -0.07951481050954085]",0,312,255
1783271402081,1,array1,,,0,0,"[-0.015498225369100227, 0.06305369963707708, -0.08441915716405113]",0,312,255
1783271402098,1,array1,,,0,0,"[-0.015498225369100227, 0.06305369963707708, -0.08441915716405113]",0,312,255
1783271402122,1,array1,,,0,0,"[-0.015498225369100227, 0.06305369963707708, -0.08441915716405113]",0,312,255
1783271402151,1,array1,,,0,0,"[-0.01475534284647162, 0.058215227506662526, -0.09431954725231387]",0,312,255
1783271402173,1,array1,,,0,0,"[-0.01475534284647162, 0.058215227506662526, -0.09431954725231387]",0,312,255
1783271402218,1,array1,,,0,0,"[-0.015926600156142223, 0.06260154394482265, -0.08275717422382034]",0,312,255
1783271402223,1,array1,,,0,0,"[-0.015926600156142223, 0.06260154394482265, -0.08275717422382034]",0,312,255
1783271402247,1,array1,,,0,0,"[-0.015926600156142223, 0.06260154394482265, -0.08275717422382034]",0,312,255
1783271402283,1,array1,,,0,0,"[-0.017831041738313014, 0.05328537895905894, -0.074519453170207]",0,312,255
1783271402297,1,array1,,,0,0,"[-0.017831041738313014, 0.05328537895905894, -0.074519453170207]",0,312,255
1783271402338,1,array1,,,0,0,"[-0.020432037469561404, 0.061129138881546585, -0.08446849844430863]",0,312,255
1783271402348,1,array1,,,0,0,"[-0.020432037469561404, 0.061129138881546585, -0.08446849844430863]",0,312,255
1783271402373,1,array1,,,0,0,"[-0.020432037469561404, 0.061129138881546585, -0.08446849844430863]",0,312,255
1783271402403,1,array1,,,0,0,"[-0.025896697126152723, 0.06714947251472347, -0.07452407108598842]",0,312,255
1783271402423,1,array1,,,0,0,"[-0.025896697126152723, 0.06714947251472347, -0.07452407108598842]",0,312,255
1783271402468,1,array1,,,0,0,"[-0.025716206643493278, 0.05690959985535882, -0.08771290381207832]",0,312,255
1783271402472,1,array1,,,0,0,"[-0.025716206643493278, 0.05690959985535882, -0.08771290381207832]",0,312,255
1783271402522,1,array1,,,0,0,"[-0.0269098702391235, 0.057986200083176676, -0.08439566184031455]",0,312,255
1783271402569,1,array1,,,0,0,"[-0.012206841940417434, 0.06151017564445749, -0.08272634945109689]",0,312,255
1783271402572,1,array1,,,0,0,"[-0.012206841940417434, 0.06151017564445749, -0.08272634945109689]",0,312,255
1783271402597,1,array1,,,0,0,"[-0.012206841940417434, 0.06151017564445749, -0.08272634945109689]",0,312,255
1783271402640,1,array1,,,0,0,"[-0.022910832054884533, 0.06614332813309942, -0.08272683551064743]",0,312,255
1783271402647,1,array1,,,0,0,"[-0.022910832054884533, 0.06614332813309942, -0.08272683551064743]",0,312,255
1783271402673,1,array1,,,0,0,"[-0.022910832054884533, 0.06614332813309942, -0.08272683551064743]",0,312,255
1783271402705,1,array1,,,0,0,"[-0.015683839426615442, 0.057348895964529634, -0.0794188627292698]",0,312,255
1783271402723,1,array1,,,0,0,"[-0.015683839426615442, 0.057348895964529634, -0.0794188627292698]",0,312,255
1783271402775,1,array1,,,0,0,"[-0.018861976943049696, 0.06103945164084712, -0.08107517537432353]",0,312,255
1783271402817,1,array1,,,0,0,"[-0.01755096087226049, 0.05906514529581497, -0.08439664485303268]",0,312,255
1783271402822,1,array1,,,0,0,"[-0.01755096087226049, 0.05906514529581497, -0.08439664485303268]",0,312,255
1783271402848,1,fixation2,,,0,0,"[-0.01755096087226049, 0.05906514529581497, -0.08439664485303268]",0,352,375
1783271402881,1,fixation2,,,0,0,"[-0.022568101493861292, 0.05999702021424602, -0.08768734266953199]",0,352,375
1783271402897,1,fixation2,,,0,0,"[-0.022568101493861292, 0.05999702021424602, -0.08768734266953199]",0,352,375
1783271402922,1,fixation2,,,0,0,"[-0.022568101493861292, 0.05999702021424602, -0.08768734266953199]",0,352,375
1783271402948,1,fixation2,,,0,0,"[-0.013928845542574064, 0.0641868628451101, -0.08768747393277876]",0,352,375
1783271402972,1,fixation2,,,0,0,"[-0.013928845542574064, 0.0641868628451101, -0.08768747393277876]",0,352,375
1783271402997,1,fixation2,,,0,0,"[-0.018523530736704596, 0.06109897567649025, -0.09261696506486385]",0,352,375
1783271403023,1,fixation2,,,0,0,"[-0.018523530736704596, 0.06109897567649025, -0.09261696506486385]",0,352,375
1783271403048,1,fixation2,,,0,0,"[-0.017892983450972177, 0.06065921370709504, -0.08107339450245371]",0,352,375
1783271403073,1,fixation2,,,0,0,"[-0.017892983450972177, 0.06065921370709504, -0.08107339450245371]",0,352,375
1783271403115,1,fixation2,,,0,0,"[-0.019078317950519896, 0.06597922002237111, -0.08437763363229402]",0,352,375
1783271403123,1,fixation2,,,0,0,"[-0.019078317950519896, 0.06597922002237111, -0.08437763363229402]",0,352,375
1783271403148,1,fixation2,,,0,0,"[-0.019078317950519896, 0.06597922002237111, -0.08437763363229402]",0,352,375
1783271403180,1,fixation2,,,0,0,"[-0.017055107400172964, 0.05913291442984858, -0.08603095143297822]",0,352,375
1783271403198,1,fixation2,,,0,0,"[-0.017055107400172964, 0.05913291442984858, -0.08603095143297822]",0,352,375
1783271403224,1,fixation2,,,0,0,"[-0.017055107400172964, 0.05913291442984858, -0.08603095143297822]",0,352,375
1783271403247,1,fixation2,,,0,0,"[-0.015203179547106982, 0.06022212784276826, -0.09426500607886001]",0,352,375
1783271403273,1,fixation2,,,0,0,"[-0.015203179547106982, 0.06022212784276826, -0.09426500607886001]",0,352,375
1783271403298,1,fixation2,,,0,0,"[-0.01846703414425116, 0.06460332913181177, -0.08771520074768328]",0,352,375
1783271403322,1,fixation2,,,0,0,"[-0.01846703414425116, 0.06460332913181177, -0.08771520074768328]",0,352,375
1783271403356,1,array2,,,0,0,"[-0.015050108458183331, 0.06325035581276195, -0.08771507459148192]",0,312,255
1783271403373,1,array2,,,0,0,"[-0.015050108458183331, 0.06325035581276195, -0.08771507459148192]",0,312,255
1783271403413,1,array2,,,0,0,"[-0.017244210232463086, 0.06089719359828494, -0.0877151071614624]",0,312,255
1783271403423,1,array2,,,0,0,"[-0.017244210232463086, 0.06089719359828494, -0.0877151071614624]",0,312,255
1783271403448,1,array2,,,0,0,"[-0.017244210232463086, 0.06089719359828494, -0.0877151071614624]",0,312,255
1783271403484,1,array2,,,0,0,"[-0.021488026446322195, 0.0607281738377865, -0.0877148683992851]",0,312,255
1783271403498,1,array2,,,0,0,"[-0.021488026446322195, 0.0607281738377865, -0.0877148683992851]",0,312,255
1783271403524,1,array2,,,0,0,"[-0.021488026446322195, 0.0607281738377865, -0.0877148683992851]",0,312,255
1783271403552,1,array2,,,0,0,"[-0.022679823826973478, 0.056667653088229186, -0.0860672868268733]",0,312,255
1783271403573,1,array2,,,0,0,"[-0.022679823826973478, 0.056667653088229186, -0.0860672868268733]",0,312,255
1783271403598,1,array2,,,0,0,"[-0.017373623388033166, 0.05843816350636777, -0.08938987038474891]",0,312,255
1783271403628,1,array2,,,0,0,"[-0.017373623388033166, 0.05843816350636777, -0.08938987038474891]",0,312,255
1783271403669,1,array2,,,0,0,"[-0.01705043944993262, 0.05836526185103108, -0.09103119288988369]",0,312,255
1783271403674,1,array2,,,0,0,"[-0.01705043944993262, 0.05836526185103108, -0.09103119288988369]",0,312,255
1783271403715,1,array2,,,0,0,"[-0.010386903583279039, 0.06128017809077135, -0.0910314845515605]",0,312,255
1783271403724,1,array2,,,0,0,"[-0.010386903583279039, 0.06128017809077135, -0.0910314845515605]",0,312,255
1783271403749,1,array2,,,0,0,"[-0.010386903583279039, 0.06128017809077135, -0.0910314845515605]",0,312,255
