timestamp,trial,trial_phase,gaze_x,gaze_y,left_iris_radius,right_iris_radius,head_pose,blink_state,target_x,target_y
1783269011228,1,fixation1,,,0,0,"[0.05423251057051581, 0.04699694097642115, -0.02396255840928401]",0,352,375
1783269011235,1,fixation1,,,0,0,"[0.05423251057051581, 0.04699694097642115, -0.02396255840928401]",0,352,375
1783269011278,1,fixation1,,,0,0,"[0.05675034907861387, 0.045508420148762885, -0.03811811995189831]",0,352,375
1783269011284,1,fixation1,,,0,0,"[0.05675034907861387, 0.045508420148762885, -0.03811811995189831]",0,352,375
1783269011311,1,fixation1,,,0,0,"[0.05675034907861387, 0.045508420148762885, -0.03811811995189831]",0,352,375
1783269011344,1,fixation1,,,0,0,"[0.052856577206959465, 0.04893686981963674, -0.030177172867832468]",0,352,375
1783269011360,1,fixation1,,,0,0,"[0.052856577206959465, 0.04893686981963674, -0.030177172867832468]",0,352,375
1783269011394,1,fixation1,,,0,0,"[0.0579511548550069, 0.051954380448542836, -0.03175218774139114]",0,352,375
1783269011410,1,fixation1,,,0,0,"[0.0579511548550069, 0.051954380448542836, -0.03175218774139114]",0,352,375
1783269011463,1,fixation1,,,0,0,"[0.05189776957841141, 0.04904153104125908, -0.03332655707699348]",0,352,375
1783269011485,1,fixation1,,,0,0,"[0.05189776957841141, 0.04904153104125908, -0.03332655707699348]",0,352,375
1783269011528,1,fixation1,,,0,0,"[0.06108185349499362, 0.04707218402150426, -0.02541975174355379]",0,352,375
1783269011535,1,fixation1,,,0,0,"[0.06108185349499362, 0.04707218402150426, -0.02541975174355379]",0,352,375
1783269011577,1,fixation1,,,0,0,"[0.05771303801471428, 0.04553411777425587, -0.03170630814051545]",0,352,375
1783269011584,1,fixation1,,,0,0,"[0.05771303801471428, 0.04553411777425587, -0.03170630814051545]",0,352,375
1783269011628,1,fixation1,,,0,0,"[0.05710699815722764, 0.050367957668128294, -0.02224201930190902]",0,352,375
1783269011635,1,fixation1,,,0,0,"[0.05710699815722764, 0.050367957668128294, -0.02224201930190902]",0,352,375
1783269011664,1,fixation1,,,0,0,"[0.05710699815722764, 0.050367957668128294, -0.02224201930190902]",0,352,375
1783269011694,1,fixation1,,,0,0,"[0.053310771846659444, 0.044374755885202455, -0.025397228683432634]",0,352,375
1783269011721,1,array1,,,0,0,"[0.053310771846659444, 0.044374755885202455, -0.025397228683432634]",0,392,335
1783269011761,1,array1,,,0,0,"[0.05141227970782514, 0.04600607015898395, -0.036486040537745186]",0,392,335
1783269011770,1,array1,,,0,0,"[0.05141227970782514, 0.04600607015898395, -0.036486040537745186]",0,392,335
1783269011795,1,array1,,,0,0,"[0.05141227970782514, 0.04600607015898395, -0.036486040537745186]",0,392,335
1783269011829,1,array1,,,0,0,"[0.056041132941297866, 0.05309316705041134, -0.03175961154549337]",0,392,335
1783269011845,1,array1,,,0,0,"[0.056041132941297866, 0.05309316705041134, -0.03175961154549337]",0,392,335
1783269011878,1,array1,,,0,0,"[0.05575681716188108, 0.05081051660163172, -0.04596014455974931]",0,392,335
1783269011896,1,array1,,,0,0,"[0.05575681716188108, 0.05081051660163172, -0.04596014455974931]",0,392,335
1783269011948,1,array1,,,0,0,"[0.05751395535469572, 0.04744485544039945, -0.02846269051189456]",0,392,335
1783269011994,1,array1,,,0,0,"[0.07071282106493737, 0.050304308414760635, -0.02371949302867761]",0,392,335
1783269012020,1,array1,,,0,0,"[0.07071282106493737, 0.050304308414760635, -0.02371949302867761]",0,392,335
1783269012061,1,array1,,,0,0,"[0.06633284217744306, 0.05036106142727648, -0.020557141468092198]",0,392,335
