timestamp,trial,trial_phase,gaze_x,gaze_y,left_iris_radius,right_iris_radius,head_pose,blink_state,target_x,target_y
1783014461143,1,fixation1,247.1732923687395,289.4661971737496,3.392828252751915,3.506272885290979,"[-0.07822517855828137, 0.07815712914613127, -0.21398753126785852]",0,352,255
1783014461277,1,fixation1,,,0.0,0.0,"[-0.009646872573203624, 0.06283684015740065, -0.07320346330011744]",0,352,255
1783014461313,1,fixation1,,,0.0,0.0,"[-0.0012958112810128042, 0.060129384242388006, -0.08077027740886558]",0,352,255
1783014461345,1,fixation1,,,0.0,0.0,"[-0.0029419497650963744, 0.0611563470081673, -0.07926258545923369]",0,352,255
1783014461358,1,fixation1,,,0.0,0.0,"[-0.0029419497650963744, 0.0611563470081673, -0.07926258545923369]",0,352,255
1783014461403,1,fixation1,,,0.0,0.0,"[0.0071219196416201225, 0.05959551105099559, -0.07624026385584931]",0,352,255
1783014461408,1,fixation1,,,0.0,0.0,"[0.0071219196416201225, 0.05959551105099559, -0.07624026385584931]",0,352,255
1783014461432,1,fixation1,,,0.0,0.0,"[0.0071219196416201225, 0.05959551105099559, -0.07624026385584931]",0,352,255
1783014461472,1,fixation1,,,0.0,0.0,"[0.00875427909815929, 0.058024993906105604, -0.07026636409332473]",0,352,255
1783014461482,1,fixation1,,,0.0,0.0,"[0.00875427909815929, 0.058024993906105604, -0.07026636409332473]",0,352,255
1783014461532,1,fixation1,,,0.0,0.0,"[0.0011590609545732988, 0.055196347966160575, -0.07768325073761893]",0,352,255
1783014461582,1,array1,,,0.0,0.0,"[0.004512968821489993, 0.06050224933323278, -0.07174028049382146]",0,392,375
1783014461630,1,array1,,,0.0,0.0,"[0.001652295008122917, 0.06327921930116887, -0.07472840502242512]",0,392,375
1783014461634,1,array1,,,0.0,0.0,"[0.001652295008122917, 0.06327921930116887, -0.07472840502242512]",0,392,375
1783014461658,1,array1,,,0.0,0.0,"[0.001652295008122917, 0.06327921930116887, -0.07472840502242512]",0,392,375
1783014461697,1,array1,,,0.0,0.0,"[0.0029240074795466864, 0.05797032551704473, -0.07175025993745092]",0,392,375
1783014461709,1,array1,,,0.0,0.0,"[0.0029240074795466864, 0.05797032551704473, -0.07175025993745092]",0,392,375
1783014461734,1,array1,,,0.0,0.0,"[0.0029240074795466864, 0.05797032551704473, -0.07175025993745092]",0,392,375
1783014461761,1,array1,,,0.0,0.0,"[0.006259809029000918, 0.05808306196195734, -0.06275774621273329]",0,392,375
1783014461783,1,array1,,,0.0,0.0,"[0.006259809029000918, 0.05808306196195734, -0.06275774621273329]",0,392,375
1783014461811,1,array1,,,0.0,0.0,"[0.0019389460205629927, 0.060995961161005474, -0.06275775987352976]",0,392,375
1783014461834,1,array1,,,0.0,0.0,"[0.0019389460205629927, 0.060995961161005474, -0.06275775987352976]",0,392,375
1783014461878,1,array1,,,0.0,0.0,"[-0.00669343190155941, 0.05964712178564047, -0.0703481492520365]",0,392,375
1783014461883,1,array1,,,0.0,0.0,"[-0.00669343190155941, 0.05964712178564047, -0.0703481492520365]",0,392,375
1783014461909,1,array1,,,0.0,0.0,"[-0.00669343190155941, 0.05964712178564047, -0.0703481492520365]",0,392,375
1783014461947,1,array1,,,0.0,0.0,"[-0.012355993316331026, 0.0608513294577161, -0.07187079465137793]",0,392,375
1783014461959,1,array1,,,0.0,0.0,"[-0.012355993316331026, 0.0608513294577161, -0.07187079465137793]",0,392,375
1783014461984,1,array1,,,0.0,0.0,"[-0.012355993316331026, 0.0608513294577161, -0.07187079465137793]",0,392,375
1783014462013,1,array1,,,0.0,0.0,"[-0.013732368445983134, 0.05950679496003719, -0.07187088354839717]",0,392,375
1783014462045,1,array1,,,0.0,0.0,"[-0.013669798953261203, 0.061858419304380186, -0.06882147497338469]",0,392,375
1783014462059,1,array1,,,0.0,0.0,"[-0.013669798953261203, 0.061858419304380186, -0.06882147497338469]",0,392,375
1783014462083,1,array1,,,0.0,0.0,"[-0.013669798953261203, 0.061858419304380186, -0.06882147497338469]",0,392,375
1783014462113,1,array1,,,0.0,0.0,"[-0.016905731938601398, 0.05717233237547714, -0.07034845877582346]",0,392,375
1783014462133,1,array1,,,0.0,0.0,"[-0.016905731938601398, 0.05717233237547714, -0.07034845877582346]",0,392,375
1783014462179,1,array1,,,0.0,0.0,"[-0.023571968773085483, 0.06006368963330211, -0.07793361610993738]",0,392,375
1783014462183,1,array1,,,0.0,0.0,"[-0.023571968773085483, 0.06006368963330211, -0.07793361610993738]",0,392,375
1783014462209,1,array1,,,0.0,0.0,"[-0.023571968773085483, 0.06006368963330211, -0.07793361610993738]",0,392,375
1783014462246,1,array1,,,0.0,0.0,"[-0.02227296905431242, 0.06069675000236152, -0.07944157173847978]",0,392,375
1783014462258,1,array1,,,0.0,0.0,"[-0.02227296905431242, 0.06069675000236152, -0.07944157173847978]",0,392,375
1783014462284,1,array1,,,0.0,0.0,"[-0.02227296905431242, 0.06069675000236152, -0.07944157173847978]",0,392,375
1783014462314,1,fixation2,,,0.0,0.0,"[-0.018544357018655755, 0.058993858339319694, -0.08095426724577964]",0,352,255
1783014462334,1,fixation2,,,0.0,0.0,"[-0.018544357018655755, 0.058993858339319694, -0.08095426724577964]",0,352,255
1783014462362,1,fixation2,,,0.0,0.0,"[-0.012904995670577457, 0.05739579170230091, -0.07338146464546702]",0,352,255
1783014462386,1,fixation2,,,0.0,0.0,"[-0.012904995670577457, 0.05739579170230091, -0.07338146464546702]",0,352,255
1783014462434,1,fixation2,,,0.0,0.0,"[-0.020114653962098716, 0.057646895217197236, -0.06577031695915361]",0,352,255
1783014462487,1,fixation2,,,0.0,0.0,"[-0.0198097990832235, 0.059088104893374904, -0.06879345013537572]",0,352,255
1783014462510,1,fixation2,,,0.0,0.0,"[-0.0198097990832235, 0.059088104893374904, -0.06879345013537572]",0,352,255
1783014462553,1,fixation2,,,0.0,0.0,"[-0.017944257840691424, 0.06058963910487236, -0.055136871407439836]",0,352,255
1783014462560,1,fixation2,,,0.0,0.0,"[-0.017944257840691424, 0.06058963910487236, -0.055136871407439836]",0,352,255
1783014462604,1,fixation2,,,0.0,0.0,"[-0.023454578009529714, 0.06281432306246126, -0.06735503317476135]",0,352,255
1783014462610,1,fixation2,,,0.0,0.0,"[-0.023454578009529714, 0.06281432306246126, -0.06735503317476135]",0,352,255
1783014462635,1,fixation2,,,0.0,0.0,"[-0.023454578009529714, 0.06281432306246126, -0.06735503317476135]",0,352,255
1783014462673,1,fixation2,,,0.0,0.0,"[-0.028399548151095744, 0.06331705623878403, -0.08095519687548008]",0,352,255
1783014462685,1,fixation2,,,0.0,0.0,"[-0.028399548151095744, 0.06331705623878403, -0.08095519687548008]",0,352,255
1783014462737,1,fixation2,,,0.0,0.0,"[-0.0295060609658529, 0.06514947425267426, -0.07338236249320651]",0,352,255
1783014462759,1,fixation2,,,0.0,0.0,"[-0.0295060609658529, 0.06514947425267426, -0.07338236249320651]",0,352,255
1783014462802,1,fixation2,,,0.0,0.0,"[-0.02958524448099087, 0.06403544923620108, -0.07939995283847984]",0,352,255
1783014462835,1,array2,,,0.0,0.0,"[-0.029628108860463354, 0.06784048266269538, -0.08545734466651146]",0,392,215
1783014462854,1,array2,,,0.0,0.0,"[-0.029628108860463354, 0.06784048266269538, -0.08545734466651146]",0,392,215
1783014462900,1,array2,,,0.0,0.0,"[-0.027994666643211874, 0.06474901952405798, -0.07937904087273884]",0,392,215
1783014462904,1,array2,,,0.0,0.0,"[-0.027994666643211874, 0.06474901952405798, -0.07937904087273884]",0,392,215
1783014462930,1,array2,,,0.0,0.0,"[-0.027994666643211874, 0.06474901952405798, -0.07937904087273884]",0,392,215
1783014462966,1,array2,,,0.0,0.0,"[-0.03092791996533112, 0.06402965039251163, -0.08845194661955229]",0,392,215
1783014462978,1,array2,,,0.0,0.0,"[-0.03092791996533112, 0.06402965039251163, -0.08845194661955229]",0,392,215
1783014463004,1,array2,,,0.0,0.0,"[-0.03092791996533112, 0.06402965039251163, -0.08845194661955229]",0,392,215
1783014463044,1,array2,,,0.0,0.0,"[-0.037423933544230625, 0.06546895059414048, -0.08236008108897948]",0,392,215
1783014463052,1,array2,,,0.0,0.0,"[-0.037423933544230625, 0.06546895059414048, -0.08236008108897948]",0,392,215
1783014463082,1,array2,,,0.0,0.0,"[-0.03868763390017654, 0.0654557618551792, -0.08236013073659311]",0,392,215
1783014463102,1,array2,,,0.0,0.0,"[-0.03868763390017654, 0.0654557618551792, -0.08236013073659311]",0,392,215
1783014463149,1,array2,,,0.0,0.0,"[-0.03211216737279854, 0.0639420670145241, -0.08849177987627015]",0,392,215
1783014463153,1,array2,,,0.0,0.0,"[-0.03211216737279854, 0.0639420670145241, -0.08849177987627015]",0,392,215
1783014463178,1,array2,,,0.0,0.0,"[-0.03211216737279854, 0.0639420670145241, -0.08849177987627015]",0,392,215
1783014463216,1,array2,,,0.0,0.0,"[-0.03233545290070389, 0.06399405993871365, -0.08849181105777267]",0,392,215
1783014463228,1,array2,,,0.0,0.0,"[-0.03233545290070389, 0.06399405993871365, -0.08849181105777267]",0,392,215
1783014463268,1,array2,,,0.0,0.0,"[-0.038771324551850894, 0.0614959295596651, -0.07633030728379436]",0,392,215
1783014463278,1,array2,,,0.0,0.0,"[-0.038771324551850894, 0.0614959295596651, -0.07633030728379436]",0,392,215
1783014463313,1,array2,,,0.0,0.0,"[-0.04088671315699377, 0.06287689302810862, -0.08550035364889988]",0,392,215
1783014463328,1,array2,,,0.0,0.0,"[-0.04088671315699377, 0.06287689302810862, -0.08550035364889988]",0,392,215
1783014463352,1,array2,,,0.0,0.0,"[-0.04088671315699377, 0.06287689302810862, -0.08550035364889988]",0,392,215
1783014463383,1,array2,,,0.0,0.0,"[-0.033430419965507496, 0.06421433055341719, -0.08550021273393402]",0,392,215
