Model,Accuracy_Mean,Accuracy_SD,Accuracy_95CI_Lower,Accuracy_95CI_Upper,Balanced_Accuracy_Mean,Balanced_Accuracy_SD,Balanced_Accuracy_95CI_Lower,Balanced_Accuracy_95CI_Upper,Precision_Mean,Precision_SD,Precision_95CI_Lower,Precision_95CI_Upper,Recall_Mean,Recall_SD,Recall_95CI_Lower,Recall_95CI_Upper,Specificity_Mean,Specificity_SD,Specificity_95CI_Lower,Specificity_95CI_Upper,F1_Score_Mean,F1_Score_SD,F1_Score_95CI_Lower,F1_Score_95CI_Upper,ROC_AUC_Mean,ROC_AUC_SD,ROC_AUC_95CI_Lower,ROC_AUC_95CI_Upper,PR_AUC_Mean,PR_AUC_SD,PR_AUC_95CI_Lower,PR_AUC_95CI_Upper
Logistic_Regression,0.65,0.10458250331675945,0.5201644886789443,0.7798355113210558,0.6033333333333333,0.06055300708194988,0.5281588979624351,0.6785077687042315,0.76,0.08628119403696527,0.652884922526181,0.867115077473819,0.7066666666666667,0.18469193569593426,0.4773781035948127,0.9359552297385206,0.5,0.11785113019775792,0.353691953589543,0.646308046410457,0.7242424242424242,0.13611087685742854,0.5552655425204744,0.893219305964374,0.67,0.07940752833047733,0.5714183375176815,0.7685816624823186,0.8732698412698413,0.05178783976663471,0.8089770538238517,0.937562628715831
Random_Forest,0.825,0.14252192813739223,0.6480640228783303,1.0019359771216696,0.76,0.14366241293006635,0.5816481509923588,0.9383518490076412,0.8357142857142857,0.11180339887498947,0.6969142857142858,0.9745142857142857,0.9199999999999999,0.17888543819998318,0.6979199999999999,1.14208,0.6,0.25276251480171835,0.2862041994474043,0.9137958005525957,0.8692307692307691,0.1276912779280896,0.710706524397783,1.0277550140637552,0.6900000000000001,0.20055478608655097,0.44101826430215596,0.9389817356978442,0.8373809523809523,0.13370849054355757,0.6713865490426707,1.003375355719234
XGBoost,0.7,0.14252192813739223,0.5230640228783303,0.8769359771216696,0.6233333333333333,0.17701224063135668,0.4035788424425516,0.843087824224115,0.7857142857142858,0.15771001547014013,0.589922830646525,0.9815057407820467,0.8133333333333332,0.1849924923401548,0.5836716397248625,1.042995026941804,0.4333333333333333,0.43461349368017654,-0.10622408200301842,0.972890748669685,0.7827106227106226,0.11453621461879997,0.6405179277741743,0.924903317647071,0.6833333333333333,0.26246692913372704,0.357489842613564,1.0091768240531027,0.8314761904761905,0.14678387014637334,0.6492491617693359,1.013703219183045
